Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Product Description,Manufacturer
http://www.amazon.in/b/ref=sxts_spks_0_0_5b47f725-4fa5-48ae-98f9-662935e233b4?node=21102587031&pd_rd_w=VhNug&content-id=amzn1.sym.5b47f725-4fa5-48ae-98f9-662935e233b4:amzn1.sym.5b47f725-4fa5-48ae-98f9-662935e233b4&pf_rd_p=5b47f725-4fa5-48ae-98f9-662935e233b4&pf_rd_r=80Z9Z1HRCEJSE2JYT8SZ&pd_rd_wg=WB32Q&pd_rd_r=76750563-af42-4215-a0ea-f3ebc1456e04&qid=1679516135,,,,,,,,
,,,,,,,,
http://www.amazon.in/gp/bestsellers/luggage/ref=sr_bs_0_luggage_1,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"1,199",4.0 out of 5 stars,,,,,
http://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=ice_ac_b_dpb,Skybags Brat Black 46 Cms Casual Backpack,669,4.1 out of 5 stars,,,,,
http://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),499,3.9 out of 5 stars,,,,,
http://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,"1,199",4.0 out of 5 stars,,,,,
http://www.amazon.in/s/ref=sxin_16_trfob?rh=n%3A14737350031&k=bags&i=specialty-aps&srs=14737350031&pd_rd_w=oEQNn&content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee:amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=80Z9Z1HRCEJSE2JYT8SZ&pd_rd_wg=9jWB2&pd_rd_r=7c56fdc0-5917-4b62-8f39-cab4d97a3d3c&qid=1679516135,,288,4.0 out of 5 stars,,,,,
http://www.amazon.in/Blue-Tree-Velvet-Spiderman-School/dp/B07HLYW3FF?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,288,4.0 out of 5 stars,,"Non-Toxic And Soft Fabric good quality and Washable; Soft And Cuddly Filling, Made By India And Printed Bag<br><br> <br>    Very Attractive To Make You Have A Good Feeling All The Time,<br><br>; Gift this soft, smooth and cuddly teddy as a great gift to your loved one<br><br> <br>    Soft Toy School Bag For Kids, Travelling Bag, Carry Bag, Picnic Bag, Teddy Bag<br>; Color Name: Multi Colour<br> <br>    Strap Type: Shoulder Strap; Water Resistance Level: Water Resistant<br> <br>    Material Type: Velvet <br>",,,
http://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB42QFQ?sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D,,324,4.2 out of 5 stars,,,,,
http://www.amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWG91Q3?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,435,4.0 out of 5 stars,,,,,
http://www.amazon.in/Backpack-Toddler-Animal-Cartoon-Travel/dp/B09H3H3898?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,288,4.0 out of 5 stars,,,,,
http://www.amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWTHLTF?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,435,5.0 out of 5 stars,,,,,
http://www.amazon.in/Blue-Tree-Backpack-Cartoon-Toddler/dp/B097NJV1WY?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,435,4.6 out of 5 stars,,,,,
http://www.amazon.in/Blue-Tree-Velvet-Nursery-Travelling/dp/B07XJHP2C7?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,288,4.0 out of 5 stars,,"Non-Toxic and Soft Fabric Made from Safe Materials to be used by Kids.; Soft And Cuddly Filling Printed work<br> <br>    Premium quality light Weight MINIONS bag especially for Kindergarten boys and girls baby. Suitable for 2 to 5 Years Kids.<br> <br>    Adjustable strap and enough space for children's things like toys, lunch box, fruits, small books, pencil box and other stationery items<br> <br>    Very Attractive To Make You Have A Good Feeling All The Time, Gift this soft, smooth and cuddly teddy as a great gift to your loved one<br>; Closure Type: Zipper; Special Features: Lightweight <br>    Water Resistance Level: Water Resistant <br>    
› See more product details",,,
http://www.amazon.in/Amazon-Brand-Solimo-so_flingyrqba_4-Gym/dp/B084DPRRRR?sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D,,549,4.2 out of 5 stars,,,,,
,,,,,,,,
http://www.amazon.in/gp/bestsellers/computers/1375464031/ref=sr_bs_3_1375464031_1,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),565,4.3 out of 5 stars,,,,,
http://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,949,3.9 out of 5 stars,,,,,
http://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,214,3.7 out of 5 stars,,"Outer Material: Polyester, Color: Black and Yellow.Ideal for 3-5 year old children.    Wear Resistant: Wear resistant, Stain resistant, Water Resistance: Water resistant; Dimensions: 49 cms x 33 cms x 10 cms (LxWxH)    Number of compartments: 1; Compatible Laptop Size : 15.4    Warranty Type: Manufacturer; 1 Year from the date of purchase    Pocket Description: Utility Pocket; Color Name: Black And Blue; Age Range Description: Adult; Closure Type: Zipper",,"Intuitively crafted at the Gear design studio to balance comfort, style, endurance and functionality.",
http://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),299,4.0 out of 5 stars,,"Outer Material: Polyester, Color: Sea Blue    Not water resistant. With Rain Cover:No    Capacity: 15 liters; Weight: 200 grams; Dimensions: 12 cms x 27 cms x 41 cms (LxWxH)    Number of compartments: 2; Laptop Compatibility: No    Age Range Description: Kid; Closure Type: Drawstring; Pocket Description: Utility Pocket    Drawstring, 2 Compartments, Compact Size",,"Be it your short trips or your daily travel across the city, daypack has got you covered. With a 15 litre capacity daypack lets you carry your wallet, umbrella, kerchief, keys, earphones, Notepad, pens and other Essentials. The drawstring compartment lets you dump things that you pick up on your way. Compact Size and 2 Compartment.",
http://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9 out of 5 stars,,,,,
http://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",689,3.9 out of 5 stars,,,,,
http://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07PLKV6D1,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,473,4.3 out of 5 stars,,,,,
http://www.amazon.in/gp/profile/amzn1.account.AE3KRARFYIYSFSCJ4J2O2CMRJ6ZA/ref=sxin_25?linkCode=oas&asc_contentid=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&cv_ct_id=amzn1.osa.0538446c-4d65-4d18-896a-0a51a79ab27a.A21TJRUUN4KGV.en_IN&asc_contenttype=article&cv_ct_pg=search&cv_ct_wn=osp-single-source-pecos-desktop&cv_ct_we=contributor-profile&pd_rd_w=1rLNB&content-id=amzn1.sym.feb2b32b-0085-4665-973c-36b431684408:amzn1.sym.feb2b32b-0085-4665-973c-36b431684408&pf_rd_p=feb2b32b-0085-4665-973c-36b431684408&pf_rd_r=80Z9Z1HRCEJSE2JYT8SZ&pd_rd_wg=9jWB2&pd_rd_r=7c56fdc0-5917-4b62-8f39-cab4d97a3d3c&qid=1679516135&cv_ct_cx=bags,,313,3.8 out of 5 stars,,,,,
,,,,,,,,
http://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",398,4.1 out of 5 stars,,,,,
http://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",799,3.9 out of 5 stars,,,,,
http://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53,ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),599,3.9 out of 5 stars,,,,,
http://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,"1,075",4.4 out of 5 stars,,"Outer material: synthetic, color: brown    Waterproof    Capacity: 20 liters; Weight: 560 grams; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH)    Number of compartments: 2    Laptop compatibility: yes, laptop size: 16strap type: adjustable    Anti theft waterproof bag with anti sweat fabric on back and shoulder straps    USB and headphone cable slot    
   External bottle pocket Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,2 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot .   Show More",,"Gear bags are designed for the quick commute as well for the long journey. these backpacks can be used as laptop bags,adventure bags and so on. Your favorite travel companion, The backpacks come with enough storage space to carry all your requirements.",
http://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ,ADISA Light Weight Laptop Backpack 32 Ltrs,499,4.0 out of 5 stars,,,,,
http://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",4.2 out of 5 stars,,,,,
http://www.amazon.in/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=TD2Ty&content-id=amzn1.sym.6705d6dc-26d1-4cee-9638-634bef10528d:amzn1.sym.6705d6dc-26d1-4cee-9638-634bef10528d&pf_rd_p=6705d6dc-26d1-4cee-9638-634bef10528d&pf_rd_r=80Z9Z1HRCEJSE2JYT8SZ&pd_rd_wg=UuRIS&pd_rd_r=f6f1c275-e4f1-412f-9f22-6f9698baf682&qid=1679516135,,,,,,,,
,,,,,,,,
http://www.amazon.in/gp/help/customer/display.html?nodeId=200533820,,,,,,,,
http://www.amazon.in/b/ref=sxts_spks_0_0_5b47f725-4fa5-48ae-98f9-662935e233b4?node=21102587031&pd_rd_w=Pv5Ky&content-id=amzn1.sym.5b47f725-4fa5-48ae-98f9-662935e233b4:amzn1.sym.5b47f725-4fa5-48ae-98f9-662935e233b4&pf_rd_p=5b47f725-4fa5-48ae-98f9-662935e233b4&pf_rd_r=Q36G5B7NHSG0D3H2JBG2&pd_rd_wg=nXO9F&pd_rd_r=efdbd601-2234-4851-8691-764b842cd096&qid=1679516163,,,,,,,,
,,,,,,,,
http://www.amazon.in/gp/bestsellers/luggage/ref=sr_bs_0_luggage_1,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"1,199",4.0 out of 5 stars,,,,,
http://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=ice_ac_b_dpb,Skybags Brat Black 46 Cms Casual Backpack,669,4.1 out of 5 stars,,,,,
http://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),499,3.9 out of 5 stars,,,,,
http://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,"1,199",4.0 out of 5 stars,,,,,
http://www.amazon.in/s/ref=sxin_16_trfob?rh=n%3A14737350031&k=bags&i=specialty-aps&srs=14737350031&pd_rd_w=yt0xk&content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee:amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=Q36G5B7NHSG0D3H2JBG2&pd_rd_wg=pgJzq&pd_rd_r=c1f3b6d9-0292-41a5-a6ed-24faa507dd55&qid=1679516163,,288,4.0 out of 5 stars,,,,,
http://www.amazon.in/Blue-Tree-Velvet-Spiderman-School/dp/B07HLYW3FF?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,288,4.0 out of 5 stars,,,,,
http://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB42QFQ?sbo=EO%2BcdOgoisx3waG5xqcZQA%3D%3D,,324,4.2 out of 5 stars,,,,,
http://www.amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWG91Q3?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,435,4.0 out of 5 stars,,,,,
http://www.amazon.in/Backpack-Toddler-Animal-Cartoon-Travel/dp/B09H3H3898?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,288,4.0 out of 5 stars,,,,,
http://www.amazon.in/School-Backpack-Cartoon-Travel-Toddler/dp/B08WWTHLTF?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,435,5.0 out of 5 stars,,"DIMENSION: 15 X 3.5 X 12 Inches / 38 X 8 X 30 Cm (WxLxH) | Weight: 0.32 Kg/ 0.7 Lb | Front Pocket: 12 X 9 Inch / 30 X 23 Cm (WxH) | Soft Adjustable & Breathable Shoulder Straps: 8-20.8 Inch / 20-53 Cm.    DESIGN: Made Of Super Soft Plush Material And High Quality Smooth Zipper Accessories. Small Backpack Suitable For Toddler Baby Kids Girl And Boy Between 1-6 Years Old.    PRODUCT MATERIAL: Made With High Quality Non-Toxic Soft Plush Material. Lightweight But Tear Resistant For Little Kids To Carry, Easy To Clean, Strong & Durable. It Has Sturdy, Non-Slip, And Comfortable Top Loop Handle As Well As Adjustable Straps At Its Back. Very Safe, Practical And Comfortable For Kids.    USAGE: This Kids Backpack Bag Is Perfect For School Bag, Travelling Bag, Carry Bag, Picnic Bag, Teddy Bag. Enough Space For Children's Stuffs Like Toys, Foods, Napkin, Fruits, Small Books, Pencils And Other Daily Items.    GREAT GIFT: Cute And Cool Animal Toddler School Backpacks, Great Gift For Kids With Lovely Animal Attractive Design, Perfect For Children Going Out For Travel, Preschool And Daycare Center.",,"Blue Tree Cute Kids Backpack Is A Perfect Backpack For Toddlers Or Kids Headed To Preschool, Daycare, Hiking, And Day Trips. This Bag Is Made Up Of High-Quality Finest Material Which Is Soft To Touch, Cute And Adorable, Perfect-Size For Little Ones, This Perfectly-Sized Zoo Pack Feature A Friendly Animal Face, Top Hanging Loop, Crafted Details. The Cartoon Backpack Is The Best Gift For Kids. Every Little Kid Wants Cute, Cool Animal Toddler Backpacks. Lovely Animals Attractive Design, Bright And Multi-Color. It Is Very Soft And Lightweight. The Super Lightweight Makes Your Kids Easy To Carry Around. The Padded Shoulder Straps Are Also Adjustable, Making Them Comfy For Little Shoulders.",
http://www.amazon.in/Blue-Tree-Backpack-Cartoon-Toddler/dp/B097NJV1WY?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,435,4.6 out of 5 stars,,,,,
http://www.amazon.in/Blue-Tree-Velvet-Nursery-Travelling/dp/B07XJHP2C7?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,288,4.0 out of 5 stars,,,,,
